"daily_curr_date","daily_curr_name","daily_curr_rate"
"2024-12-19","HKD","0.9374"
"2024-12-19","JPY","0.046188"
"2024-12-19","RUB","0.0684"
"2024-12-19","USD","7.2861"
"2025-01-06","RMB","1"
"2025-01-06","CNY","1"
"2025-01-06","EUR","7.5828"
"2025-01-06","GBP","9.1323"
"2025-01-06","HKD","0.9406"
"2025-01-06","JPY","0.046341"
"2025-01-06","RUB","0.0673"
"2025-01-06","USD","7.3141"
"2025-01-23","CZK","0.301205"
"2025-02-09","CZK","0.301205"
"2025-02-28","CZK","0.303951"
"2025-03-05","HKD","0.9292"
"2025-03-05","JPY","0.048431"
"2025-03-05","RUB","0.0779"
"2025-03-05","USD","7.2223"
"2025-03-06","CZK","0.311526"
"2025-03-08","RMB","1"
"2025-03-08","CNY","1"
"2025-03-14","CZK","0.31348"
"2025-03-18","RMB","1"
"2025-03-18","CNY","1"
"2025-04-04","RMB","1"
"2024-11-27","RMB","1"
"2024-11-27","CNY","1"
"2024-11-27","EUR","7.6286"
"2024-11-27","GBP","9.1473"
"2024-11-27","HKD","0.9297"
"2024-11-27","JPY","0.047705"
"2024-11-27","RUB","0.066"
"2024-11-27","USD","7.2363"
"2024-11-28","RMB","1"
"2024-11-28","CNY","1"
"2024-11-28","EUR","7.6155"
"2024-11-28","GBP","9.1514"
"2024-11-28","HKD","0.9291"
"2024-11-28","JPY","0.04764"
"2024-11-28","RUB","0.063"
"2024-11-28","USD","7.2327"
"2024-12-12","RMB","1"
"2024-12-12","CNY","1"
"2024-12-12","EUR","7.5848"
"2024-12-12","GBP","9.1849"
"2024-12-12","HKD","0.9334"
"2024-12-12","JPY","0.04758"
"2024-12-12","RUB","0.0681"
"2024-12-12","USD","7.2587"
"2024-12-22","EUR","7.5858"
"2024-12-22","GBP","9.1411"
"2024-12-22","HKD","0.9369"
"2024-12-22","JPY","0.04648"
"2024-12-22","RUB","0.070671"
"2024-12-22","USD","7.29927"
"2024-12-23","CZK","0.30303"
"2025-01-11","EUR","7.4917"
"2025-01-11","GBP","8.9262"
"2025-01-11","HKD","0.9403"
"2025-01-11","JPY","0.046325"
"2025-01-11","RUB","0.07"
"2025-01-11","USD","7.3236"
"2025-01-12","CZK","0.301205"
"2025-01-14","RMB","1"
"2024-11-17","RMB","1"
"2024-11-17","EUR","7.633588"
"2024-11-17","CZK","0.302115"
"2024-11-17","RUB","0.072569"
"2024-11-17","CNY","1"
"2024-11-17","USD","7.246377"
"2024-11-17","GBP","9.174312"
"2024-11-17","HKD","0.925926"
"2024-11-17","JPY","0.046707"
"2024-11-24","RMB","1"
"2024-11-24","CNY","1"
"2024-11-24","EUR","7.5253"
"2024-11-24","GBP","9.0549"
"2024-11-24","HKD","0.9296"
"2024-11-24","JPY","0.04665"
"2024-11-24","RUB","0.070771"
"2024-11-24","USD","7.246377"
"2024-12-02","CZK","0.30303"
"2024-12-03","RMB","1"
"2024-12-03","CNY","1"
"2024-12-04","RMB","1"
"2024-12-04","CNY","1"
"2024-12-06","RMB","1"
"2024-12-06","CNY","1"
"2024-12-06","EUR","7.6566"
"2024-12-06","GBP","9.2393"
"2024-12-06","HKD","0.9334"
"2024-12-06","JPY","0.048368"
"2024-12-06","RUB","0.0705"
"2024-12-06","USD","7.2622"
"2024-12-08","RMB","1"
"2024-12-08","CNY","1"
"2024-12-08","EUR","7.6616"
"2024-12-08","GBP","9.238"
"2024-12-08","HKD","0.9334"
"2024-12-08","JPY","0.048332"
"2024-12-08","RUB","0.072411"
"2024-12-08","USD","7.29927"
"2024-12-14","CZK","0.304878"
"2024-12-16","EUR","7.6281"
"2024-12-16","GBP","9.2094"
"2024-12-16","HKD","0.935"
"2024-12-16","JPY","0.047028"
"2024-12-16","RUB","0.0683"
"2024-12-16","USD","7.2717"
"2024-12-16","CZK","0.30581"
"2024-12-17","EUR","7.6289"
"2024-12-17","GBP","9.2257"
"2024-12-17","HKD","0.9359"
"2024-12-17","JPY","0.047289"
"2024-12-17","RUB","0.0683"
"2024-12-17","USD","7.2732"
"2024-12-17","CZK","0.30581"
"2024-12-25","CZK","0.302115"
"2024-12-26","EUR","7.5777"
"2024-12-26","GBP","9.1094"
"2024-12-26","HKD","0.9381"
"2024-12-26","JPY","0.046051"
"2024-12-26","RUB","0.0704"
"2024-12-26","USD","7.2881"
"2024-12-27","CZK","0.302115"
"2024-11-14","RMB","1"
"2024-11-14","EUR","7.633588"
"2024-11-14","CZK","0.30303"
"2024-11-14","RUB","0.073421"
"2024-11-14","CNY","1"
"2024-11-14","USD","7.246377"
"2024-11-14","GBP","9.174312"
"2024-11-14","HKD","0.925926"
"2024-11-14","JPY","0.046598"
"2025-01-14","CNY","1"
"2025-01-14","EUR","7.5185"
"2025-01-14","GBP","8.912"
"2025-01-14","HKD","0.9399"
"2025-01-14","JPY","0.046218"
"2025-01-14","RUB","0.0693"
"2025-01-14","USD","7.3191"
"2025-01-14","CZK","0.297619"
"2025-01-30","RMB","1"
"2025-01-30","CNY","1"
"2025-02-01","RMB","1"
"2025-02-01","CNY","1"
"2025-02-03","CZK","0.299401"
"2025-02-10","CZK","0.3003"
"2025-02-15","CZK","0.303951"
"2025-02-17","RMB","1"
"2025-02-17","CNY","1"
"2025-02-17","EUR","7.5877"
"2025-02-17","GBP","9.1197"
"2025-02-17","HKD","0.9318"
"2025-02-17","JPY","0.047788"
"2025-02-23","RMB","1"
"2025-02-23","CNY","1"
"2025-02-23","EUR","7.5651"
"2025-02-23","GBP","9.1339"
"2025-02-23","HKD","0.9323"
"2025-02-23","JPY","0.048478"
"2025-02-23","RUB","0.0777"
"2025-02-23","USD","7.2447"
"2025-03-14","RMB","1"
"2025-03-14","CNY","1"
"2025-03-14","EUR","7.8459"
"2025-03-14","GBP","9.3228"
"2025-03-14","HKD","0.9296"
"2025-03-14","JPY","0.048602"
"2025-03-14","RUB","0.0792"
"2025-03-14","USD","7.2262"
"2025-03-26","RMB","1"
"2025-03-26","CNY","1"
"2025-03-26","EUR","7.8093"
"2025-03-26","GBP","9.3304"
"2025-03-26","HKD","0.9329"
"2025-03-26","JPY","0.048058"
"2025-03-26","RUB","0.0823"
"2025-03-26","USD","7.2552"
"2025-03-30","RMB","1"
"2025-03-30","CNY","1"
"2025-03-31","RMB","1"
"2025-03-31","CNY","1"
"2025-03-31","EUR","7.8123"
"2024-11-18","USD","7.1201"
"2024-11-18","USD","7.1201"
"2024-11-18","USD","7.0852"
"2024-11-18","USD","7.0946"
"2024-11-18","USD","7.156"
"2024-11-18","USD","7.1625"
"2024-11-18","USD","7.1401"
"2024-11-18","USD","7.176"
"2024-11-18","USD","7.176"
"2024-11-18","USD","7.1405"
"2024-11-18","USD","7.2132"
"2024-11-18","USD","7.2124"
"2024-11-18","USD","7.2309"
"2024-11-30","CZK","0.30303"
"2024-12-07","CZK","0.306748"
"2024-12-10","RMB","1"
"2024-12-10","CNY","1"
"2024-12-10","EUR","7.5898"
"2024-12-10","GBP","9.2009"
"2024-12-10","HKD","0.9309"
"2024-12-10","JPY","0.047521"
"2024-12-10","RUB","0.0703"
"2024-12-10","USD","7.2393"
"2024-12-31","EUR","7.5457"
"2024-12-31","GBP","9.124"
"2024-12-31","HKD","0.9388"
"2024-12-31","JPY","0.046355"
"2024-12-31","RUB","0.0671"
"2024-12-31","USD","7.2916"
"2025-01-02","RMB","1"
"2025-01-02","CNY","1"
"2025-01-02","EUR","7.4944"
"2025-01-02","GBP","9.0142"
"2025-01-02","HKD","0.9373"
"2025-01-02","JPY","0.046331"
"2025-01-02","RUB","0.0658"
"2025-01-02","USD","7.2906"
"2025-01-04","CZK","0.3003"
"2025-01-05","CZK","0.3003"
"2025-01-09","RMB","1"
"2025-01-09","CNY","1"
"2025-01-09","EUR","7.5265"
"2025-01-09","GBP","8.99"
"2025-01-09","HKD","0.9407"
"2025-01-09","JPY","0.046271"
"2025-01-09","RUB","0.07"
"2025-01-09","USD","7.3219"
"2025-01-11","RMB","1"
"2025-01-11","CNY","1"
"2025-01-18","RMB","1"
"2025-01-18","CNY","1"
"2025-01-18","CZK","0.298507"
"2025-01-25","RMB","1"
"2025-01-25","CNY","1"
"2025-01-25","EUR","7.5821"
"2025-01-25","GBP","9.0176"
"2025-01-25","HKD","0.9292"
"2025-01-25","JPY","0.046304"
"2025-01-25","RUB","0.0702"
"2025-01-25","USD","7.2367"
"2025-01-25","CZK","0.30303"
"2025-01-26","CZK","0.30303"
"2025-01-28","RMB","1"
"2025-01-28","CNY","1"
"2025-01-28","EUR","7.5557"
"2025-01-28","GBP","9.0019"
"2025-01-28","HKD","0.9306"
"2025-01-28","JPY","0.046453"
"2025-01-28","RUB","0.0704"
"2025-01-28","USD","7.2502"
"2025-01-29","CZK","0.302115"
"2025-02-01","EUR","7.5217"
"2025-02-01","GBP","8.9942"
"2025-02-01","HKD","0.9327"
"2025-02-01","JPY","0.046746"
"2025-02-01","RUB","0.073801"
"2025-02-01","USD","7.29927"
"2025-02-03","RMB","1"
"2025-02-03","CNY","1"
"2025-02-03","EUR","7.4804"
"2025-02-03","GBP","8.9928"
"2025-02-03","HKD","0.938"
"2025-02-03","JPY","0.046939"
"2025-02-03","RUB","0.0703"
"2025-02-03","USD","7.3111"
"2025-02-04","CZK","0.299401"
"2025-02-07","CZK","0.301205"
"2025-02-09","RMB","1"
"2025-02-09","CNY","1"
"2025-02-09","EUR","7.512"
"2025-02-09","GBP","9.0271"
"2024-12-11","RMB","1"
"2024-12-11","CNY","1"
"2024-12-11","EUR","7.5875"
"2024-12-11","GBP","9.219"
"2024-12-11","HKD","0.9323"
"2024-12-11","JPY","0.047461"
"2024-12-11","RUB","0.0667"
"2024-12-11","USD","7.2502"
"2024-12-12","CZK","0.303951"
"2024-12-15","EUR","7.6146"
"2024-12-15","GBP","9.1517"
"2024-12-15","HKD","0.9338"
"2024-12-15","JPY","0.047184"
"2024-12-15","RUB","0.0682"
"2024-12-15","USD","7.2622"
"2024-12-24","RMB","1"
"2024-12-24","CNY","1"
"2024-12-30","RMB","1"
"2024-12-30","CNY","1"
"2024-12-30","EUR","7.5489"
"2024-12-30","GBP","9.1038"
"2024-12-30","HKD","0.9383"
"2024-12-30","JPY","0.04628"
"2024-12-30","RUB","0.0684"
"2024-12-30","USD","7.2877"
"2025-01-19","RMB","1"
"2025-01-19","CNY","1"
"2025-01-19","EUR","7.5042"
"2025-01-19","GBP","8.8887"
"2025-01-19","HKD","0.9397"
"2025-01-19","JPY","0.046724"
"2025-01-19","RUB","0.071633"
"2025-01-19","USD","7.352941"
"2025-01-19","CZK","0.298507"
"2025-02-13","RMB","1"
"2025-02-13","CNY","1"
"2025-03-04","RMB","1"
"2025-03-04","CNY","1"
"2025-03-16","RMB","1"
"2025-03-16","CNY","1"
"2025-03-16","EUR","7.8524"
"2025-03-16","GBP","9.334"
"2025-03-16","HKD","0.9298"
"2025-03-16","JPY","0.048537"
"2025-03-16","RUB","0.0793"
"2025-03-16","USD","7.2282"
"2025-03-31","GBP","9.3328"
"2025-03-31","HKD","0.9311"
"2025-03-31","JPY","0.048258"
"2025-03-31","RUB","0.0817"
"2025-03-31","USD","7.2452"
"2025-04-03","RMB","1"
"2025-04-03","CNY","1"
"2025-04-03","EUR","8.0232"
"2025-04-03","GBP","9.5201"
"2025-04-03","HKD","0.9348"
"2025-04-03","JPY","0.049711"
"2025-04-03","RUB","0.0825"
"2025-04-03","USD","7.2712"
"2025-04-04","CNY","1"
"2025-04-04","EUR","7.9949"
"2025-04-04","GBP","9.4098"
"2025-04-04","HKD","0.9351"
"2025-04-04","JPY","0.049913"
"2025-04-04","RUB","0.0825"
"2025-04-04","USD","7.2712"
"2025-04-09","RMB","1"
"2025-04-09","CNY","1"
"2025-04-09","EUR","8.0956"
"2025-04-09","GBP","9.3575"
"2025-04-09","HKD","0.9459"
"2025-04-09","JPY","0.050476"
"2025-04-09","RUB","0.0823"
"2025-04-09","USD","7.336"
"2025-04-13","CZK","0.328947"
"2025-04-15","RMB","1"
"2025-04-15","CNY","1"
"2025-02-09","HKD","0.935"
"2025-02-09","JPY","0.048021"
"2025-02-09","RUB","0.0718"
"2025-02-09","USD","7.2851"
"2025-02-11","RMB","1"
"2025-02-11","CNY","1"
"2025-02-11","EUR","7.531"
"2025-02-11","GBP","9.0366"
"2025-02-11","HKD","0.9361"
"2025-02-11","JPY","0.04774"
"2025-02-11","RUB","0.0723"
"2025-02-11","USD","7.2951"
"2025-02-12","EUR","7.5572"
"2025-02-12","GBP","9.058"
"2025-02-12","HKD","0.9366"
"2025-02-12","JPY","0.04718"
"2025-02-12","RUB","0.0742"
"2025-02-12","USD","7.2971"
"2025-02-15","EUR","7.5933"
"2025-02-15","GBP","9.1087"
"2025-02-15","HKD","0.931"
"2025-02-15","JPY","0.047486"
"2025-02-15","RUB","0.0768"
"2025-02-15","USD","7.2482"
"2025-02-18","RMB","1"
"2025-02-18","CNY","1"
"2025-02-22","RMB","1"
"2025-02-22","CNY","1"
"2025-02-22","CZK","0.30303"
"2025-02-25","EUR","7.587"
"2025-02-25","GBP","9.1451"
"2025-02-25","HKD","0.9305"
"2025-02-25","JPY","0.048473"
"2025-02-25","RUB","0.0784"
"2025-02-25","USD","7.2352"
"2025-02-26","CZK","0.30581"
"2025-02-27","CZK","0.30581"
"2025-03-06","RMB","1"
"2025-03-06","CNY","1"
"2025-03-06","EUR","7.8081"
"2025-03-06","GBP","9.3035"
"2025-03-06","HKD","0.9301"
"2025-03-06","JPY","0.048723"
"2025-03-06","RUB","0.0767"
"2025-04-15","CZK","0.331126"
"2025-04-16","RMB","1"
"2025-04-16","CNY","1"
"2025-04-17","RMB","1"
"2025-04-17","CNY","1"
"2025-04-18","RMB","1"
"2025-04-18","CNY","1"
"2025-04-22","RMB","1"
"2025-04-22","CNY","1"
"2025-04-22","EUR","8.3671"
"2025-04-22","GBP","9.754"
"2025-04-22","HKD","0.9408"
"2025-04-22","JPY","0.051785"
"2025-04-22","RUB","0.0858"
"2025-04-22","USD","7.3001"
"2025-04-24","EUR","8.2477"
"2025-04-24","GBP","9.6588"
"2025-04-24","HKD","0.9379"
"2025-04-24","JPY","0.050885"
"2025-04-24","RUB","0.0855"
"2025-04-24","USD","7.2771"
"2025-04-25","CZK","0.332226"
"2025-04-27","CZK","0.332226"
"2025-04-28","CZK","0.332226"
"2025-04-29","CZK","0.332226"
"2025-05-02","CZK","0.330033"
"2025-05-04","RMB","1"
"2025-05-04","CNY","1"
"2025-05-04","EUR","8.1758"
"2025-05-04","GBP","9.6018"
"2025-05-04","HKD","0.9349"
"2025-05-04","JPY","0.049924"
"2025-05-04","RUB","0.087873"
"2025-05-04","USD","7.246377"
"2025-05-05","RMB","1"
"2025-05-05","CNY","1"
"2025-05-05","EUR","8.1982"
"2024-12-31","RMB","1"
"2024-12-31","CNY","1"
"2025-01-24","CZK","0.302115"
"2025-01-30","EUR","7.5316"
"2025-01-30","GBP","8.9957"
"2025-01-30","HKD","0.9298"
"2025-01-30","JPY","0.046814"
"2025-01-30","RUB","0.0703"
"2025-01-30","USD","7.2452"
"2025-02-18","CZK","0.303951"
"2025-02-24","EUR","7.5624"
"2025-02-24","GBP","9.1177"
"2025-02-24","HKD","0.9306"
"2025-02-24","JPY","0.048381"
"2025-02-24","RUB","0.078"
"2025-02-24","USD","7.2352"
"2025-03-06","USD","7.2292"
"2025-03-08","EUR","7.8272"
"2025-03-08","GBP","9.3357"
"2025-03-08","HKD","0.9311"
"2025-03-08","JPY","0.048784"
"2025-03-08","RUB","0.081301"
"2025-03-08","USD","7.246377"
"2025-03-08","CZK","0.314465"
"2025-03-11","EUR","7.8679"
"2025-03-11","GBP","9.3299"
"2025-03-11","HKD","0.9287"
"2025-03-11","JPY","0.048791"
"2025-03-11","RUB","0.0791"
"2025-03-11","USD","7.2173"
"2025-03-11","CZK","0.315457"
"2025-03-12","RMB","1"
"2025-03-12","CNY","1"
"2025-03-12","EUR","7.8799"
"2025-03-12","GBP","9.3467"
"2025-03-12","HKD","0.9305"
"2025-03-12","JPY","0.048671"
"2025-03-12","RUB","0.0793"
"2025-03-12","USD","7.2302"
"2025-03-20","CZK","0.315457"
"2025-03-22","CZK","0.314465"
"2025-03-25","CZK","0.314465"
"2025-03-28","EUR","7.8369"
"2025-03-28","GBP","9.3687"
"2025-03-28","HKD","0.9321"
"2025-03-28","JPY","0.048159"
"2025-03-28","RUB","0.0823"
"2025-03-28","USD","7.2512"
"2025-03-30","EUR","7.839"
"2025-03-30","GBP","9.3695"
"2025-03-30","HKD","0.9321"
"2025-03-30","JPY","0.048301"
"2025-04-01","EUR","7.8315"
"2025-04-01","GBP","9.3662"
"2025-04-01","HKD","0.9326"
"2025-04-01","JPY","0.048519"
"2025-04-01","RUB","0.0833"
"2025-04-01","USD","7.2577"
"2025-04-03","CZK","0.316456"
"2025-04-04","CZK","0.321543"
"2025-04-05","RMB","1"
"2025-04-05","CNY","1"
"2025-04-05","EUR","7.9611"
"2025-04-05","GBP","9.3679"
"2025-04-05","HKD","0.936"
"2025-04-05","JPY","0.049443"
"2025-04-05","RUB","0.0826"
"2025-04-05","USD","7.2781"
"2025-04-05","CZK","0.318471"
"2025-04-07","CZK","0.31746"
"2024-11-20","EUR","7.5954"
"2024-11-20","GBP","9.1341"
"2024-11-20","HKD","0.929"
"2024-11-20","JPY","0.046436"
"2024-11-20","RUB","0.0706"
"2024-11-20","USD","7.2322"
"2024-11-26","RMB","1"
"2024-11-26","CNY","1"
"2024-11-26","EUR","7.5852"
"2024-11-26","GBP","9.0887"
"2024-11-26","HKD","0.9301"
"2024-11-26","JPY","0.047059"
"2024-11-26","RUB","0.0676"
"2024-11-26","USD","7.2397"
"2024-12-17","RMB","1"
"2024-12-17","CNY","1"
"2024-12-24","CZK","0.302115"
"2024-12-25","RMB","1"
"2024-12-25","CNY","1"
"2025-01-04","RMB","1"
"2025-01-04","CNY","1"
"2025-01-05","RMB","1"
"2025-01-05","CNY","1"
"2025-01-17","RMB","1"
"2025-01-17","CNY","1"
"2025-02-08","RMB","1"
"2025-02-08","CNY","1"
"2025-02-19","CZK","0.30303"
"2025-02-26","RMB","1"
"2025-02-26","CNY","1"
"2025-02-26","EUR","7.6014"
"2025-02-26","GBP","9.1857"
"2025-02-26","HKD","0.9321"
"2025-02-26","JPY","0.04837"
"2025-02-26","RUB","0.0804"
"2025-02-26","USD","7.2462"
"2025-03-20","RMB","1"
"2025-03-20","CNY","1"
"2025-03-21","CZK","0.314465"
"2025-03-24","CZK","0.314465"
"2025-04-09","CZK","0.320513"
"2025-04-11","RMB","1"
"2025-04-11","CNY","1"
"2025-04-11","EUR","8.2432"
"2025-04-11","GBP","9.4959"
"2025-04-11","HKD","0.9386"
"2025-04-11","JPY","0.050682"
"2025-04-11","RUB","0.0831"
"2025-04-11","USD","7.2821"
"2025-04-19","CZK","0.332226"
"2025-04-26","RMB","1"
"2025-04-26","CNY","1"
"2025-04-26","EUR","8.2532"
"2025-04-26","GBP","9.6719"
"2025-04-26","HKD","0.9379"
"2025-04-26","JPY","0.050524"
"2025-04-26","RUB","0.0855"
"2025-04-26","USD","7.2761"
"2025-05-05","GBP","9.6235"
"2025-05-05","HKD","0.9349"
"2025-05-05","JPY","0.050337"
"2025-05-05","RUB","0.0846"
"2025-05-05","USD","7.2462"
"2025-05-09","EUR","8.1259"
"2025-05-09","GBP","9.5926"
"2025-05-09","HKD","0.929"
"2025-05-09","JPY","0.0497"
"2025-05-09","RUB","0.0849"
"2025-05-09","USD","7.2262"
"2025-05-13","CZK","0.320513"
"2025-05-14","CZK","0.321543"
"2025-05-18","RMB","1"
"2025-05-18","CNY","1"
"2025-05-18","CZK","0.323625"
"2025-05-19","CZK","0.323625"
"2025-05-23","RMB","1"
"2025-05-23","CNY","1"
"2025-05-23","EUR","8.1282"
"2025-05-23","GBP","9.6716"
"2025-05-23","HKD","0.9155"
"2025-05-23","JPY","0.050177"
"2025-05-23","RUB","0.0858"
"2025-05-23","USD","7.1704"
"2025-05-23","CZK","0.326797"
"2025-05-26","RMB","1"
"2025-05-26","CNY","1"
"2025-06-02","RMB","1"
"2025-06-02","CNY","1"
"2025-06-02","EUR","8.2096"
"2025-06-02","GBP","9.7274"
"2025-06-02","HKD","0.9163"
"2025-06-02","JPY","0.050274"
"2025-06-02","RUB","0.0888"
"2025-06-02","USD","7.1883"
"2025-06-02","CZK","0.327869"
"2025-06-04","CZK","0.328947"
"2025-06-10","RMB","1"
"2025-06-10","CNY","1"
"2025-06-11","RMB","1"
"2025-02-27","RMB","1"
"2025-02-27","CNY","1"
"2025-02-27","EUR","7.5675"
"2025-02-27","GBP","9.1755"
"2025-02-27","HKD","0.9354"
"2025-02-27","JPY","0.04846"
"2025-02-27","RUB","0.0798"
"2025-02-27","USD","7.2742"
"2025-03-25","EUR","7.8158"
"2025-03-25","GBP","9.3661"
"2025-03-25","HKD","0.9318"
"2025-03-25","JPY","0.048316"
"2025-03-25","RUB","0.0822"
"2025-03-25","USD","7.2452"
"2025-04-15","EUR","8.2425"
"2025-04-15","GBP","9.6466"
"2025-04-15","HKD","0.9412"
"2025-04-15","JPY","0.050956"
"2025-04-15","RUB","0.0834"
"2025-04-15","USD","7.3021"
"2025-04-18","CZK","0.331126"
"2025-04-20","CZK","0.332226"
"2025-04-23","RMB","1"
"2025-04-23","CNY","1"
"2025-04-23","EUR","8.2567"
"2025-04-23","GBP","9.6409"
"2025-04-23","HKD","0.9373"
"2025-04-23","JPY","0.050971"
"2025-04-23","RUB","0.0855"
"2025-04-23","USD","7.2742"
"2025-04-23","CZK","0.333333"
"2025-04-24","RMB","1"
"2025-04-24","CNY","1"
"2025-04-30","RMB","1"
"2025-04-30","CNY","1"
"2025-04-30","EUR","8.225"
"2025-04-30","GBP","9.67"
"2025-04-30","HKD","0.9363"
"2025-04-30","JPY","0.050798"
"2025-04-30","RUB","0.0854"
"2025-04-30","USD","7.2622"
"2025-05-01","CZK","0.331126"
"2025-05-04","CZK","0.328947"
"2025-05-06","RMB","1"
"2025-05-06","CNY","1"
"2025-05-06","EUR","8.1544"
"2025-05-06","GBP","9.6081"
"2025-05-06","HKD","0.9293"
"2025-05-06","JPY","0.050308"
"2025-05-06","RUB","0.0847"
"2025-05-06","USD","7.2043"
"2025-05-10","RMB","1"
"2025-05-10","CNY","1"
"2025-05-12","RMB","1"
"2025-05-12","CNY","1"
"2025-05-12","EUR","7.9756"
"2025-05-12","GBP","9.4789"
"2025-05-12","HKD","0.9227"
"2025-05-12","JPY","0.048418"
"2025-05-12","RUB","0.085"
"2025-05-12","USD","7.1903"
"2025-05-15","RMB","1"
"2025-05-15","CNY","1"
"2025-05-15","EUR","8.0351"
"2025-05-15","GBP","9.5434"
"2025-05-15","HKD","0.922"
"2025-05-15","JPY","0.049274"
"2025-05-15","RUB","0.0856"
"2025-05-15","USD","7.1973"
"2025-05-17","RMB","1"
"2025-05-17","CNY","1"
"2025-06-11","CNY","1"
"2025-06-11","EUR","8.237"
"2025-06-11","GBP","9.7174"
"2025-06-11","HKD","0.9147"
"2025-06-11","JPY","0.049572"
"2025-06-11","RUB","0.0876"
"2025-06-11","USD","7.1803"
"2025-06-12","EUR","8.2754"
"2025-06-12","GBP","9.7159"
"2025-06-12","HKD","0.9125"
"2025-06-12","JPY","0.04974"
"2025-06-12","RUB","0.0874"
"2025-06-12","USD","7.1634"
"2025-06-15","CZK","0.334448"
"2025-06-17","CZK","0.334448"
"2025-06-18","RMB","1"
"2025-06-18","CNY","1"
"2025-06-24","CZK","0"
"2025-06-24","EUR","8.303"
"2025-06-24","GBP","9.7333"
"2025-06-24","HKD","0.912"
"2025-06-24","JPY","0.049332"
"2025-06-24","RUB","0.0874"
"2025-06-24","USD","7.1594"
"2025-06-28","RMB","1"
"2025-06-28","CNY","1"
"2025-06-28","CZK","0"
"2025-06-28","EUR","8.3786"
"2025-06-28","GBP","9.8095"
